text,BIO_anno,class,bank_topic
广州的好几个网点都没有蓝牙的,B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,工商银行
转战其他行吧，工商银行吧,O O O O O O O B-BANK I-BANK I-BANK I-BANK O,2,
工行奋斗普3.0；农行悠然白3.0；建行车主金2.3；广发DIY9.0；招行标准金5.0；光大炎黄金3.1；中信标准金3.5；华夏SMART5.4；平安车车金4.2；恒丰恒星白7.2。,B-BANK I-BANK O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,建设银行
有个融资租赁不是太好，然后就是信用卡审批太多，最近不要再去申请了，查询多了申卡很难过银行系统的。,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2,工商银行
主要是权益那些感觉都没什么需要，想着申大山白看看能否曲线提高额度,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,2,建设银行
密码就行。?这么简单,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
用不了那么多????我多刷刷看,O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O,2,
进度显示已下发了，是不是稳了,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
我当时没注意，可能没有吧，网申有，曲线可以走网申无卡通道时提交上，到时候人工审核有帮助吧。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
临额菩提？,B-COMMENTS_N I-COMMENTS_N O O O,2,招商银行
什么都没有，没社保没车房。工作地址都是之前的。打算快递拦截,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
你用款才上征信,O O O O O B-PRODUCT I-PRODUCT,2,中国银行
不是可以曲线吗,O O O O O O O,2,建设银行
没呀，网申后电话回访直接出额度了,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,中信银行
2，支付宝有积分，一个月一万，综合积分是信用卡积分，储蓄卡消费积分也是算在综合积分。,O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O,2,建设银行
